name,address (no apostrophe),"tin(numbers only, no special chars)",telcontact,cpcontact,email,website,blisted (enter either 1 for yes and 0 for no),"supp_status (enter either 1 for ""Active"" and 0 for ""Inactive"")",remarks
ABM-A Builder Marketing,"No. 3-B Giron Street, Bo. 7-B, Laoag City",111816932000,(077) 670-7026,,,,0,1,
ACM Graphics,"5 Sports Drive Fourth Estate Subd., San Antonio, Parañaque City",222742030000,,,,,0,1,
AC & R Engineering, ,153896170000,072-700-2102,,,,0,1,
"Add-Bell Technical Services, Inc.","#14 Silver Street, Goldendale Subdivision, Tinajeros, Malabon City 1470",7997875000,"(02) 775-0567, 788-1966",,addbell@yahoo.com,,0,1,
AGB Refrigeration Center,"#21 Quezon Avenue, San Fenando City, La Union",920211614000,,,,,0,1,
Agoo Printing Press,"San Nicolas Sur, Agoo, La Union",114883276,710-0455,,,,0,1,
A & J Pro Lights & Sound Rental,"Poblacion, Aringay, La Union",,,,,,0,1,
Allied Hospital Supply International Corp.,"#6 Leonard Wood Loop, Baguio City",280415000,074-442-5407,,,,0,1,
Almighty Medical Supply,"Lot 13G B4 Doña Aurora Street Ext. Ciudad Grande Ph1, Bakakeng, Baguio City",163346050000,(074) 442-0314,,"ebalutoc@yahoo.com, almightymedical@yahoo.com",,0,1,
April Joy Home Decors & Furniture,"Quezon Avenue, San Fernando City, La Union",907546507006,"607-2447, 719-1234, 603-0695",,,,0,1,
Astrophil Trading,"94 Jasmin St. Doña Maria Village II, Brgy.I-C, San Pablo City",915005654000,,,,,0,1,
"Bannuar Security Agency, Inc.","4F DNCP Bldg.,Rizal Ave.,Cor. Ortega St., Brgy. IV, san Fernando City, La Union",6108900000,888-6150,,bannuar_Agency@yahoo.com,,0,1,
BF Merren Pharmaceuticals,"48 Diego Silang Street, Project 4 Quezon City, Metro Manila",145446225000,,,,,0,1,
BHF Corporation,"147 BHF Building, P. Burgos Street, Ilocanos Sur, San Fernando City",252541042,,,,,0,1,
"Blue Sky Trading Co,. Inc","#416 Dasmarinas St, Binondo, Manila",309461001,(02)241-85-01 to 04,,"marketing@bluesky.com.ph, mnsupnet@bluesky.com.ph",,0,1,
BNAR Enterprises,"1346-48 Rizal Avenue, Nr. North LRT, Bambang Stn., Sta. Cruz, Manila",900467121,"(02) 734-0579, 354-0964, 734-0277, 708-3705",,"bnar_ent@yahoo.com, url: www.bnar_ent.com",,0,1,
Brady Pharma Inc.,,7914456000,,,,,0,1,
Brixmed Pharmaceuticals,"Blue Diamond Subd., San Vicente, Sto Tomas, Pampanga",220058590000,,,,,0,1,
Caloocan Gas Corp.,"CTC Indl. Subdiv. Golden Road, Gate 44 & 46, Gen. Luis Street, Bgy. 166 Kaybiga, Caloocan City",295453009,937-41-22/937-41-08/939-69-80,,cgcco@yahoo.com,,0,1,
"Celsus Pharmaceuticalsceuticals Phils., Inc.","115 Scout Rallos cor. 11th Jamboree Sts. Sacred Heart, Quezon City",220155582,02-9288208,,,,0,1,
Centro Lumber and Hardware Corp.,"645 Quezon Avenue, Bgy 1, San Fernando City, La Union",28290157000,,,,,0,1,
Chempro Enterprises,"767 Cordero Subd. Lambakin Marilao, Bulacan 3019",107554776000,(02) 495-1482 / 255-3991,,,,0,1,
Cnctech Incorporated,"Unit 1134 City & Land Mega Plaza, ADB Ave. Corner GarneT Road, Pasig City Metro Manila",7616134000,,,,,0,1,
Completesolution Pharmacy and General Merchandise,"2002 Doña Consolacion St., St. Francis Vill., Dolores, City of San Fernando Pampanga ",170203608007,,,,,0,1,
